title,link
Zodiac,https://www.wikiart.org/zh/a-er-feng-si-mu-xia/zodiac-1896
The Archangel Michael defeating Satan,https://www.wikiart.org/zh/gui-duo-lei-ni/the-archangel-michael-defeating-satan-1635
章魚與海女,https://www.wikiart.org/zh/ge-shi-bei-zhai/zhang-yu-yu-hai-nu-1814
杜伊勒里花园音乐会,https://www.wikiart.org/zh/ai-de-hua-ma-nai/du-yi-le-li-hua-yuan-yin-le-hui-1862
My Birth,https://www.wikiart.org/zh/fu-lie-da-qia-luo/my-birth-1932
夜遊者,https://www.wikiart.org/zh/ai-de-hua-huo-pu/ye-you-zhe-1942
The Parquet Planers (The Floor Scrapers),https://www.wikiart.org/zh/gu-si-ta-fu-qia-ye-bo-te/the-parquet-planers-1875
Eyes on the table,https://www.wikiart.org/zh/remedios-varo/eyes-on-the-table-1938
The Last Judgement,https://www.wikiart.org/zh/mi-kai-lang-ji-luo/the-last-judgement-1541
The false mirror,https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/the-false-mirror-1928
聖三位一體,https://www.wikiart.org/zh/ma-sa-qiao/sheng-san-wei-ti-1428
The Skat Players,https://www.wikiart.org/zh/ao-tuo-di-ke-si/the-skat-players-1920
Vertumnus (Emperor Rudolph II),https://www.wikiart.org/zh/zhu-sai-pei-a-er-qin-bo-tuo/vertumnus-emperor-rudolph-ii
奥南的葬礼,https://www.wikiart.org/zh/ju-si-ta-fu-ku-er-bei/ao-nan-de-zang-li-1850
兒童遊戲,https://www.wikiart.org/zh/lao-bi-de-bo-lu-gai-er/er-tong-you-xi-1560
Work Nr. 217 ELP I (Brain Salad Surgery),https://www.wikiart.org/zh/h-r-ji-ge-er/work-nr-217-elp-i-brain-salad-surgery-1973
倒牛奶的女僕,https://www.wikiart.org/zh/yang-fu-mei-er/dao-niu-nai-de-nu-pu-1660
凱風快晴,https://www.wikiart.org/zh/ge-shi-bei-zhai/kai-feng-kuai-qing-1831
Van Gogh's Chair,https://www.wikiart.org/zh/wen-sen-te-fan-gao/van-gogh-s-chair-1889
克尼多斯的阿芙蘿黛蒂,https://www.wikiart.org/zh/gu-xi-la-hui-hua-yu-diao-su/aphrodite-of-knidos
Interior (The Rape),https://www.wikiart.org/zh/ai-de-jia-de-jia/interior-the-rape-1869
Haystacks at Giverny,https://www.wikiart.org/zh/ke-lao-de-mo-nai/haystacks-at-giverny
Britto Garden,https://www.wikiart.org/zh/romero-britto/britto-garden-2000
The Son of Man,https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/son-of-man-1964
Summer,https://www.wikiart.org/zh/zhu-sai-pei-a-er-qin-bo-tuo/summer-1563
The Storm on the Sea of Galilee,https://www.wikiart.org/zh/lun-bo-lang/christ-in-the-storm-1633
Separation in the Evening,https://www.wikiart.org/zh/bao-luo-ke-li/separation-in-the-evening-1922
Basket of Fruit,https://www.wikiart.org/zh/qia-la-wa-qiao/basket-of-fruit-1596-1
薩達那帕拉之死,https://www.wikiart.org/zh/ou-ren-de-la-ke-luo-wa/sa-da-na-pa-la-zhi-si-1827
Untitled,https://www.wikiart.org/zh/bei-ke-xin-si-ji/untitled-1978-0
Autumn on the Seine at Argenteuil,https://www.wikiart.org/zh/ke-lao-de-mo-nai/autumn-on-the-seine-at-argenteuil
煎餅磨坊的舞會,https://www.wikiart.org/zh/pi-ye-ao-gu-si-te-lei-nuo-wa/jian-bing-mo-fang-de-wu-hui-1876
Automat,https://www.wikiart.org/zh/ai-de-hua-huo-pu/automat-1927
The Burning Giraffe,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/flaming-giraffe
克里斯蒂娜的世界,https://www.wikiart.org/zh/an-de-lu-wei-si/ke-li-si-di-nuo-de-shi-jie-1948
Catching the Thanksgiving Turkey,https://www.wikiart.org/zh/mo-xi-nai-nai/catching-the-thanksgiving-turkey-1943
Self Portrait with Necklace of Thorns,https://www.wikiart.org/zh/fu-lie-da-qia-luo/self-portrait-with-necklace-of-thorns-1940
Man in a Bowler Hat,https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/man-in-a-bowler-hat-1964
